component;property;de;en;Dev-status
SHOGun.admin.view.grid.LayerList;config.data.unsuccessfulDeletionMsgTemplate;Fehler;Layer {0} could not be deleted.; -
SHOGun.admin.view.grid.LayerList;config.data.downloadStartingMsg;Download startet in Kürze. Bitte warten Sie...;Download will start shortly, please wait...; -
SHOGun.admin.view.grid.LayerList;config.data.downloadFailureMsg;Konnte Quelldatensatz des Layers nicht herunterladen.;Could not download Layerdata!; -
SHOGun.admin.view.grid.LayerList;config.data.previewTemplate;"Vorschau von Layer ""{0}""";"Preview of layer ""{0}"""; -
SHOGun.admin.view.grid.LayerAttributes;config.data.keyColumnHeader;Name;Name; -
SHOGun.admin.view.grid.LayerAttributes;config.data.valueColumnHeader;Datentyp;Data type; -
SHOGun.admin.view.tree.LayerTree;config.data.title;Layer Tree;Layer Tree; -
SHOGun.admin.view.tree.LayerTree;config.data.addTreeFolderMenuText;Ordner hinzufügen (innerhalb des ausgewählten Ordners);Add folder (inside selected); -
SHOGun.admin.view.tree.LayerTree;config.data.addTreeFolderTopLevelMenuText;Ordner hinzufügen (oberste Ebene);Add folder (top level); -
SHOGun.admin.view.tree.LayerTree;config.data.deleteTreeLeafMenuText;Layer-Eintrag löschen;Delete leaf; -
SHOGun.admin.view.tree.LayerTree;config.data.deleteTreeFolderMenuText;Ordner löschen;Delete folder; -
SHOGun.admin.view.tree.LayerTree;config.data.deleteAllTreeFoldersMenuText;Ordnerinhalt vollständig löschen;Delete tree contents completely; -
SHOGun.admin.view.tree.LayerTree;config.data.renameTreeLeafMenuText;Layer-Eintrag umbenennen;Rename leaf; -
SHOGun.admin.view.tree.LayerTree;config.data.renameTreeFolderMenuText;Ordner umbenennen;Rename folder; -
SHOGun.admin.view.tree.LayerTree;config.data.addTreeFolderWindowTitle;Ordner hinzufügen;Add folder; -
SHOGun.admin.view.tree.LayerTree;config.data.addTreeFolderWindowMsg;Bitte geben Sie den Namen des neuen Ordners ein.;Enter a name for the new folder; -
SHOGun.admin.view.tree.LayerTree;config.data.deleteTreeLeafWindowTitle;Layer-Eintrag löschen;Delete leaf; -
SHOGun.admin.view.tree.LayerTree;config.data.deleteTreeFolderWindowTitle;Ordner Löschen;Delete folder; -
SHOGun.admin.view.tree.LayerTree;config.data.deleteTreeLeafWindowMsg;Möchten Sie den Layer-Eintrag {0} wirklich löschen;Do you really want to delete leaf {0}?; -
SHOGun.admin.view.tree.LayerTree;config.data.deleteTreeFolderWindowMsg;Möchten Sie den Ordner {0} wirklich löschen?;Do you really want to delete folder {0}?; -
SHOGun.admin.view.tree.LayerTree;config.data.deleteAllTreeFoldersWindowText;Inhalt des Ordners vollständig löschen;Delete tree contents completely; -
SHOGun.admin.view.tree.LayerTree;config.data.deleteAllTreeFoldersWindowText;Möchten Sie den Inhalt des Trees vollständig löschen?;Do you really want to delete the tree contents completely; -
SHOGun.admin.view.tree.LayerTree;config.data.renameTreeLeafWindowTitle;Layer-Eintrag umgenennen;Rename leaf; -
SHOGun.admin.view.tree.LayerTree;config.data.renameTreeFolderWindowTitle;Ordner umbenennen;Rename folder; -
SHOGun.admin.view.tree.LayerTree;config.data.renameTreeLeafWindowMsg;Bitte geben Sie einen neuen Namen für Layer-Eintrag {0} an.;Enter a new name for the leaf {0}; -
SHOGun.admin.view.tree.LayerTree;config.data.renameTreeFolderWindowMsg;Bitte geben Sie einen neuen Namen für den Ordner {0} an.;Enter a new name for the folder {0}; -
SHOGun.admin.view.grid.GroupList;config.data.i18n.groupGridTitle;Gruppen;Groups; -
SHOGun.admin.view.grid.GroupList;config.data.i18n.groupGridCreateGroup;Erstellen;Create; -
SHOGun.admin.view.grid.GroupList;config.data.i18n.groupGridDeleteGroup;Löschen;Delete; -
SHOGun.admin.view.grid.GroupList;config.data.i18n.groupGridFilterByName;Filtern über Name;Filter by name; -
SHOGun.admin.view.grid.GroupList;config.data.i18n.groupGridRefresh;Aktualisieren;Refresh; -
SHOGun.admin.view.grid.GroupList;config.data.i18n.groupSettings;Einstellungen;Settings; -
SHOGun.admin.view.grid.GroupList;config.data.i18n.groupCreationTitle;Neue Gruppe;Group creation; -
SHOGun.admin.view.grid.GroupList;config.data.i18n.groupCreationText;Bitte geben Sie den Namen der Gruppe ein;Please enter the name of the group to create; -
SHOGun.admin.view.grid.GroupList;config.data.i18n.groupCreatedSuccessText;Gruppe erstellt;Group created; -
SHOGun.admin.view.grid.GroupList;config.data.i18n.groupCreatedFailureText;Gruppe konnte nicht erstellt werden;Group could not be created; -
SHOGun.admin.view.grid.GroupList;config.data.i18n.groupDeletionNoSelectionText;Bitte wählen Sie zuerst eine Gruppe;Please select a group before; -
SHOGun.admin.view.grid.GroupList;config.data.i18n.groupDeletionText;Wollen Sie diese Gruppe wirklich löschen?;Are you sure you want to delete this group?; -
SHOGun.admin.view.grid.GroupList;config.data.i18n.groupDeletionTitle;Löschen;Deletion; -
SHOGun.admin.view.grid.GroupList;config.data.i18n.groupDeletionSuccessText;Gruppe gelöscht;Group deleted successfully; -
SHOGun.admin.view.grid.GroupList;config.data.i18n.groupDeletionFailureText;Gruppe konnte nicht gelöscht werden;Group could not be deleted; -
SHOGun.admin.view.grid.GroupList;config.data.i18n.groupModifyText;Bitte geben Sie einen neuen Gruppennamen ein;Please enter a new name for the group; -
SHOGun.admin.view.grid.GroupList;config.data.i18n.groupModifyTitle;Bearbeiten;Edit; -
SHOGun.admin.view.grid.GroupList;config.data.i18n.groupModifySuccessText;Gruppe erfolgreich bearbeitet;Group edited successfully; -
SHOGun.admin.view.grid.GroupList;config.data.i18n.groupModifyFailureText;Gruppe konnte nicht bearbeitet werden;Group edit failed; -
SHOGun.admin.view.grid.GroupList;config.data.i18n.groupAddUserBtnText;Benutzer hinzufügen;Add user; -
SHOGun.admin.view.grid.GroupList;config.data.i18n.groupAddUserTitle;Benutzer zu Gruppe hinzufügen;Add user to group; -
SHOGun.admin.view.grid.GroupList;config.data.i18n.groupAddUserText;Wählen Sie einen Benutzer, Gruppe und Rolle, die Sie hinzufügen möchten;Select a user, group and role you want to add; -
SHOGun.admin.view.grid.GroupList;config.data.i18n.groupAddUserSelectGroupTitle;Wählen Sie eine Gruppe;Select a group; -
SHOGun.admin.view.grid.GroupList;config.data.i18n.groupAddUserSelectUserTitle;Wählen Sie einen Benutzer;Select a user; -
SHOGun.admin.view.grid.GroupList;config.data.i18n.groupAddUserSelectRoleTitle;Wählen Sie eine Rolle;Select a role; -
SHOGun.admin.view.grid.GroupList;config.data.i18n.groupAddUserSaveBtnText;Speichern;Save; -
SHOGun.admin.view.grid.GroupList;config.data.i18n.groupAddUserSelectFirst;Bitte machen Sie gültige Angaben;Please select valid options; -
SHOGun.admin.view.grid.GroupList;config.data.i18n.groupAddUserSuccess;Einstellungen gespeichert;Settings saved; -
SHOGun.admin.view.grid.GroupList;config.data.i18n.groupAddUserFail;Einstellungen konnten nicht gespeichert werden;Settings could not be saved; -
SHOGun.admin.view.panel.GroupPanel;config.data.i18n.grouppanelTitle;Gruppen und Berechtigungen;Groups and permissions; -
SHOGun.admin.view.panel.GroupPanel;config.data.i18n.grouppanelActionSuccess;Ok;Success; -
SHOGun.admin.view.panel.GroupPanel;config.data.i18n.grouppanelActionFailure;Fehler;Error; -
SHOGun.admin.view.panel.GroupPanel;config.data.i18n.grouppanelSaveButtonText;Speichern;Save; -
SHOGun.admin.view.panel.GroupPanel;config.data.i18n.grouppanelUpdateSuccessText;Berechtigungen aktualisiert;Permissions updated; -
SHOGun.admin.view.panel.GroupPanel;config.data.i18n.grouppanelUpdateFailureText;Berechtigungen konnten nicht aktualisiert werden;Permissions could not be updated; -
SHOGun.admin.view.panel.GroupPanel;config.data.i18n.grouppanelPermissionGridDescription;Verwalten Sie hier die Berechtigungen der Nutzer innerhalb der Gruppen.<br>Wenn sich für einen Nutzer die Rolle / Berechtigung ändert, wird dieser per Email darüber informiert;Here you can manage all users permissions for the different groups.<br>The User you are changing the permissions for will be notified via email about his new roles and groups; -
SHOGun.admin.view.panel.GroupPanel;config.data.i18n.grouppanelEditPermissionsTitle;Berechtigungen;Permissions; -
SHOGun.admin.view.grid.GroupPermissionGrid;config.data.i18n.groupPermissionGridPanelGroupColumnName;Gruppe;Group; -
SHOGun.admin.view.grid.GroupPermissionGrid;config.data.i18n.groupPermissionGridPanelSubadminColumnName;Sub-Admin;Sub-Admin; -
SHOGun.admin.view.grid.GroupPermissionGrid;config.data.i18n.groupPermissionGridPanelEditorColumnName;Editor;Editor; -
SHOGun.admin.view.grid.GroupPermissionGrid;config.data.i18n.groupPermissionGridPanelUserColumnName;Benutzer;User; -
SHOGun.admin.view.viewport.Viewport;config.data.i18n.applicationsMenuTitle;Applikationen;Applications; -
SHOGun.admin.view.viewport.Viewport;config.data.i18n.layersMenuTitle;Layer;Layers; -
SHOGun.admin.view.viewport.Viewport;config.data.i18n.usersMenuTitle;Benutzer;Users; -
SHOGun.admin.view.viewport.Viewport;config.data.i18n.groupsMenuTitle;Gruppen;Groups; -
SHOGun.admin.view.viewport.Viewport;config.data.i18n.profileMenuTitle;Profil;Profile; -
Ext.Date;monthNames[];Januar,Februar,März,April,Mai,Juni,Juli,August,September,Oktober,November,Dezember;January,February,March,April,May,June,July,August,September,October,November,December; -
Ext.Date;defaultFormat;d.m.Y;m/d/y; -
Ext.Date;monthNumbers.Jan;0;0; -
Ext.Date;monthNumbers.Feb;1;1; -
Ext.Date;monthNumbers.Mar;2;2; -
Ext.Date;monthNumbers.Apr;3;3; -
Ext.Date;monthNumbers.Mai;4;4; -
Ext.Date;monthNumbers.Jun;5;5; -
Ext.Date;monthNumbers.Jul;6;6; -
Ext.Date;monthNumbers.Aug;7;7; -
Ext.Date;monthNumbers.Sep;8;8; -
Ext.Date;monthNumbers.Okt;9;9; -
Ext.Date;monthNumbers.Nov;10;10; -
Ext.Date;monthNumbers.Dez;11;11; -
Ext.Date;dayNames[];Sonntag,Montag,Dienstag,Mittwoch,Donnerstag,Freitag,Samstag;Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday; -
Ext.form.Basic;waitTitle;Bitte warten...;Please Wait...; -
Ext.form.CheckboxGroupExt.form.CheckboxGroup;blankText;Du musst mehr als einen Eintrag aus der Gruppe auswählen;You must select at least one item in this group; -
Ext.form.field.Base;invalidText;Der Wert des Feldes ist nicht korrekt;The value in this field is invalid; -
Ext.form.field.ComboBox;valueNotFoundText; -;;
Ext.form.field.ComboBox;defaultListConfig.loadingText;Lade Daten ...;Loading...; -
Ext.form.field.Date;disabledDaysText;nicht erlaubt;Disabled; -
Ext.form.field.Date;disabledDatesText;nicht erlaubt;Disabled; -
Ext.form.field.Date;minText;Das Datum in diesem Feld muss nach dem {0} liegen;The date in this field must be after {0}; -
Ext.form.field.Date;maxText;Das Datum in diesem Feld muss vor dem {0} liegen;The date in this field must be before {0}; -
Ext.form.field.Date;invalidText;{0} ist kein gültiges Datum - es muss im Format {1} eingegeben werden;{0} is not a valid date - it must be in the format {1}; -
Ext.form.field.Date;format;d.m.Y;m/d/y; -
Ext.form.field.Date;altFormats;j.n.Y|j.n.y|j.n.|j.|j/n/Y|j/n/y|j-n-y|j-n-Y|j/n|j-n|dm|dmy|dmY|j|Y-n-j|Y-m-d;m/d/Y|m-d-y|m-d-Y|m/d|m-d|md|mdy|mdY|d|Y-m-d; -
Ext.form.field.Date;startDay;1;1; -
Ext.form.field.HtmlEditor;createLinkText;Bitte geben Sie die URL für den Link ein:;Please enter the URL for the link:; -
Ext.form.field.HtmlEditor;buttonTips.bold.title;Fett (Ctrl+B);Bold (Ctrl+B); -
Ext.form.field.Number;minText;Der Mindestwert für dieses Feld ist {0};The minimum value for this field is {0}; -
Ext.form.field.Number;maxText;Der Maximalwert für dieses Feld ist {0};The maximum value for this field is {0}; -
Ext.form.field.Number;nanText;{0} ist keine Zahl;{0} is not a valid number; -
Ext.form.field.Text;minLengthText;Bitte geben Sie mindestens {0} Zeichen ein;The minimum length for this field is {0}; -
Ext.form.field.Text;maxLengthText;Bitte geben Sie maximal {0} Zeichen ein;The maximum length for this field is {0}; -
Ext.form.field.Text;blankText;Dieses Feld darf nicht leer sein;This field is required; -
Ext.form.field.Text;regexText; -;;
Ext.form.field.Text;emptyText; -;;
Ext.form.field.Time;maxText;Die Zeit muss gleich oder vor {0} liegen;The time in this field must be equal to or before {0}; -
Ext.form.field.Time;invalidText;{0} ist keine gültige Zeit;{0} is not a valid time; -
Ext.form.field.Time;format;H:i;g:i A; -
Ext.form.field.TimeExt.form.field.Time;minText;Die Zeit muss gleich oder nach {0} liegen;The time in this field must be equal to or after {0}; -
Ext.form.field.VTypes;alphaText;Dieses Feld darf nur Buchstaben enthalten und _;This field should only contain letters and _; -
Ext.form.field.VTypes;alphanumText;Dieses Feld darf nur Buchstaben und Zahlen enthalten und _;This field should only contain letters numbers and _; -
Ext.form.field.VTypes;emailText;Dieses Feld sollte eine E-Mail-Adresse enthalten. Format: 'user@example.com';This field should be an e-mail address in the format 'user@example.com'; -
Ext.form.field.VTypes;urlText;Dieses Feld sollte eine URL enthalten. Format: http:'www.example.com';This field should be a URL in the format 'http://www.example.com'; -
Ext.form.RadioGroupExt.form.RadioGroup;blankText;Du musst einen Eintrag aus der Gruppe auswählen;You must select one item in this group; -
Ext.grid.BooleanColumn;falseText;FALSCH;false; -
Ext.grid.BooleanColumnExt.grid.BooleanColumn;trueText;wahr;true; -
Ext.grid.DateColumnExt.grid.DateColumn;format;d.m.Y;m/d/Y; -
Ext.grid.header.Container;sortDescText;Absteigend sortieren;Sort Descending; -
Ext.grid.header.Container;sortClearText;Sortierung entfernen;Remove Sorting; -
Ext.grid.header.Container;columnsText;Spalten;Columns; -
Ext.grid.header.ContainerExt.grid.header.Container;sortAscText;Aufsteigend sortieren;Sort Ascending; -
Ext.grid.NumberColumnExt.grid.NumberColumn;format;0.000,00/i;0.000,00/i; -
Ext.grid.plugin.DragDrop;dragText;0} Zeile(n) ausgewählt;{0} selected row{1}; -
Ext.grid.PropertyColumnModel;valueText;Wert;Value; -
Ext.grid.PropertyColumnModel;dateFormat;d.m.Y;m/j/Y; -
Ext.grid.PropertyColumnModel;trueText;wahr;true; -
Ext.grid.PropertyColumnModel;falseText;FALSCH;false; -
Ext.grid.PropertyColumnModelExt.grid.PropertyColumnModel;nameText;Name;Name; -
Ext.LoadMask;msg;Lade Daten...;Loading...; -
Ext.grid.Panel;collapsible;Einklappen;Collapse panel; -
Ext.grid.Panel;collapsibleText;Einklappen;Collapse panel; -
Ext.picker.Date;minText;Dieses Datum liegt von dem erstmöglichen Datum;This date is before the minimum date; -
Ext.picker.Date;maxText;Dieses Datum liegt nach dem letztmöglichen Datum;This date is after the maximum date; -
Ext.picker.Date;disabledDaysText; -;;
Ext.picker.Date;disabledDatesText; -;;
Ext.picker.Date;nextText;Nächster Monat (Strg/Control + Rechts);Next Month (Control+Right); -
Ext.picker.Date;prevText;Vorheriger Monat (Strg/Control + Links);Previous Month (Control+Left); -
Ext.picker.Date;monthYearText;Monat auswählen (Strg/Control + Hoch/Runter, um ein Jahr auszuwählen);Choose a month (Control+Up/Down to move years); -
Ext.picker.Date;todayTip;Heute ({0}) (Leertaste);{0} (Spacebar); -
Ext.picker.Date;format;d.m.Y;m/d/y; -
Ext.picker.Date;startDay;1;1; -
Ext.picker.Date;todayText; Heute;Today; -
Ext.picker.Month;okText;Ok;OK; -
Ext.picker.Month;cancelText;Abbrechen;Cancel; -
Ext.tab.Tab;closeText;Diesen Tab schließen;Close this Tab; -
Ext.toolbar.Paging;beforePageText;Seite;Page; -
Ext.toolbar.Paging;afterPageText;von {0};of {0}; -
Ext.toolbar.Paging;firstText;Erste Seite;First Page; -
Ext.toolbar.Paging;prevText;vorherige Seite;Previous Page; -
Ext.toolbar.Paging;nextText;nächste Seite;Next Page; -
Ext.toolbar.Paging;lastText;letzte Seite;Last Page; -
Ext.toolbar.Paging;refreshText;Aktualisieren;Refresh; -
Ext.toolbar.Paging;displayMsg;Anzeige Eintrag {0} - {1} von {2};Displaying {0} - {1} of {2}; -
Ext.toolbar.Paging;emptyMsg;Keine Daten vorhanden;No data to display; -
Ext.util.Format;thousandSeparator;.;.; -
Ext.util.Format;decimalSeparator;0;0; -
Ext.util.Format;currencySign;€;$; -
Ext.util.Format;dateFormat;d.m.Y;m/d/Y; -
Ext.view.AbstractView;loadingText;Lade Daten...;Loading...; -
Ext.view.View;emptyText; -;;
Ext.window.MessageBox;buttonText.ok;Ok;OK; -
Ext.window.MessageBox;buttonText.cancel;Abbrechen;Cancel; -
Ext.window.MessageBox;buttonText.yes;Ja;Yes; -
Ext.window.MessageBox;buttonText.no;Nein;No; -
Ext.window.Window;closeToolText;Fenster schließen;close window; -
SHOGun.admin.view.tab.CreateOrEditApplication;config.data.i18n.general.title;Übergeordnete Einstellungen;General; -
SHOGun.admin.view.tab.CreateOrEditApplication;config.data.i18n.general.fieldSetTitle;Übergeordnete Einstellungen;General; -
SHOGun.admin.view.tab.CreateOrEditApplication;config.data.i18n.general.nameFieldLabel;Name;Name; -
SHOGun.admin.view.tab.CreateOrEditApplication;config.data.i18n.general.nameEmptyText;Name der Applikation eingeben...*;Enter the name of the application*; -
SHOGun.admin.view.tab.CreateOrEditApplication;config.data.i18n.general.descriptionFieldLabel;Beschreibung;Description; -
SHOGun.admin.view.tab.CreateOrEditApplication;config.data.i18n.general.descriptionEmptyText;Geben Sie eine Beschreibung der Applikation ein (optional);Enter an optional description of the application; -
